Supplier Name,Status,Score,Line Of Business,Supplier Number,Services,BuildingNm,Street1Addr,Street2Addr,Street3Addr,CityNm,GeographicLocationCd,CountryCd,PostalCd,TelephoneNum,AddressTypeTp,CreBy,CreDttm,SupplierNm,SupplierTypeCd,EmployeesQty,NatureOfBusinessOrServicesTxt,FirmLegalNm,Operated_Under_Other_Business_,OtherBusinessNm,Subsidiary_Affiliate_Firm_,AffiliatesNm,Legal_Query_,LegalQueryDetailsTxt,IncorporationYr,IncorporationCountryCd,CompanyWebsiteUrl
MIX AND FIX SERVICES ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPXJT118115,"Construction, Maintenance, Landscaping, Power washing, Road Rehabilitation, Landscaping, Plumbing, Electrical, Air Condition Supply / Installation and Supply and Transportation of Aggregates.  
Additionally, Mix and Fix Services covers areas of fabrication, carpentry, masonry, painting, box drain construction etc.   
",,"#25 Gopaul Avenue,  "," Lamont Street,","Longdenville,",CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,3896008,PRIMARY,mixandfixservices@gmail.com,08/05/2024 9:32:35 AM,MIX AND FIX SERVICES ,SOLE PROPRIETORSHIP,3,"Construction, Maintenance, Landscaping, Power washing, Road Rehabilitation, Landscaping, Plumbing, Electrical, Air Condition Supply / Installation and Supply and Transportation of Aggregates.  
Additionally, Mix and Fix Services covers areas of fabrication, carpentry, masonry, painting, box drain construction etc.   
",MIX AND FIX SERVICES ,NO,,NO,,NO,,2017,TRINIDAD AND TOBAGO,
GLIDE ONLINE LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLLFX103935,"E-commerce, General Procurement & Ship Chandlery",HOSEIN'S GROUP OF COMPANIES,54B Lambie Street,,,VISTABELLA,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,18682356228,PRIMARY,admin@glideonline.net,25/04/2024 1:29:07 PM,GLIDE ONLINE LIMITED,LIMITED LIABILITY,5,"E-commerce, General Procurement & Ship Chandlery",GLIDE ONLINE LIMITED ,NO,,NO,,NO,,2014,TRINIDAD AND TOBAGO,www.glideonline.net
CLOROL COGENCY LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLWHO109161,Janitorial and Building Maintenance Services,,"103 MAGNOLIA CIRCULAR, LA FLORISSANTE, D'ABADIE",,,ARIMA,ARIMA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,267-6272,PRIMARY,clorolcogencyltd@gmail.com,04/06/2024 12:46:13 AM,CLOROL COGENCY LIMITED,LIMITED LIABILITY,15,Janitorial and Building Maintenance Services,CLOROL COGENCY LIMITED,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,https://www.facebook.com/clorolcogencyfb
HEREON SERVICES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLCBI121237,"Industrial waste Management Services and pest control, Electrical, Civil, Mechanical Engineering, Marine Support, logistics Services, Fabrication, Installation, Construction and maintenance, Procurement, Drilling support Services, Integrity Test, Instrumentation and Control. ",PLOT 1,"Geoffery Tata Street, Rumuewhara off Eneka Road, ",,, PORT HARCOURT,NOT APPLICABLE,NIGERIA,50040,08139795514,SECONDARY,hereonservicesltd@outlook.com,18/05/2024 10:45:32 AM,HEREON SERVICES LIMITED,LIMITED LIABILITY,10,"Industrial waste Management Services and pest control, Electrical, Civil, Mechanical Engineering, Marine Support, logistics Services, Fabrication, Installation, Construction and maintenance, Procurement, Drilling support Services, Integrity Test, Instrumentation and Control. ",HEREON SERVICES LIMITED,NO,,NO,,NO,,2024,NIGERIA,`
GALT AND LITTLEPAGE LIMITED ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLMLP100363,Office Specialist - Design and Supply of Office Furnishings and Stationery,,31 Long Circular Road,,,ST. JAMES ,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,0000,628-1952,PRIMARY,sales@galtandlittlepage.com,11/06/2024 7:51:28 AM,GALT AND LITTLEPAGE LIMITED ,LIMITED LIABILITY,33,Office Specialist - Design and Supply of Office Furnishings and Stationery,GALT AND LITTLEPAGE LIMITED ,NO,,NO,,NO,,1985,TRINIDAD AND TOBAGO,www.galtandlittlepage.com
"SPARKLING CLEANING, CONSTRUCTION AND GENERAL SERVICES LTD",NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLCNQ108817,CLEANING AND GENERAL CONTRACTING,,Philadelphia Crown Trace ,Whim Village ,,TOBAGO,TOBAGO,TRINIDAD AND TOBAGO,0000,18684904749,PRIMARY,sparklingcleaningcgs@gmail.com,12/06/2024 12:26:20 PM,"SPARKLING CLEANING, CONSTRUCTION AND GENERAL SERVICES LTD",LIMITED LIABILITY,8,CLEANING AND GENERAL CONTRACTING,"SPARKLING CLEANING, CONSTRUCTION AND GENERAL SERVICES",NO,,NO,,NO,,2017,TRINIDAD AND TOBAGO,
SCL (TRINIDAD) LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLQJJ101930,"Manufacturing of Industrial and Janitorial Chemicals and Concrete Engineering Products. Suppliers of Lubricants, Janitorial Accessories and Industrial Raw Materials. ",SCL (TRINIDAD) LIMITED,LP #45 Saddle Road,San Juan,,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,140425,8686755555,PRIMARY,s.edwards@scl-group.com,12/06/2024 1:00:05 PM,SCL (TRINIDAD) LIMITED,LIMITED LIABILITY,80,"Manufacturing of Industrial and Janitorial Chemicals and Concrete Engineering Products. Suppliers of Lubricants, Janitorial Accessories and Industrial Raw Materials. ",SCL (TRINIDAD) LIMITED,YES,SPECIALIST CHEMICALS LIMITED,NO,,NO,,1979,TRINIDAD AND TOBAGO,http://scl-group.com
J & D SUPERMARKET LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLQFL120298,Supplier of Grocery Items (Food/Cleaning Supplies),,#21 St. John's Road,,,ST. AUGUSTINE,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,760-8464,MAILING,jd.smktltd@gmail.com,17/06/2024 10:20:05 PM,J & D SUPERMARKET LIMITED,LIMITED LIABILITY,1,Supplier of Grocery Items (Food/Cleaning Supplies),J & D SUPERMARKET LIMITED,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,N/A
G. SINGH MARKETING LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLSHG106981,"COMPLETE TRADING SUPPLIER OF HARDWARE & CONSTRUCTION MATERIALS, WELDING, METALS, SAFETY, INDUSTRIAL PRODUCTS AND GENERAL SUPPLIES.",,LOT #10 DUNCAN VILLAGE,,,SAN FERNANDO,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,652-4451,PRIMARY,GOWRIESINGH4GSM@GMAIL.COM,21/06/2024 1:40:57 PM,G. SINGH MARKETING LTD,LIMITED LIABILITY,3,"COMPLETE TRADING SUPPLIER OF HARDWARE & CONSTRUCTION MATERIALS, WELDING, METALS, SAFETY, INDUSTRIAL PRODUCTS AND GENERAL SUPPLIES.",G. SINGH MARKETING LTD,NO,,NO,,NO,,1998,TRINIDAD AND TOBAGO,
ZEUS MARKETING,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",PBWYO114199,"The supply of safety products, overall maintenance consumables and minor tools/equipment.",,"#3 Rafeek Hosein Street, El Socorro Extension ",,,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,0000,7231719,MAILING,carlboodoosingh@gmail.com,23/06/2024 10:00:08 PM,ZEUS MARKETING,SOLE PROPRIETORSHIP,2,"The supply of safety products, overall maintenance consumables and minor tools/equipment.",ZEUS MARKETING,NO,,NO,ZEUS MARKETING,NO,,2014,TRINIDAD AND TOBAGO,N/A
SAJID MOHAMMED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPFCT118715,"HARDWARE PLUMBING
TECHNICAL SUPPLIES
DIVING EQUIPMENT",,EL SOCORRO ROAD,SAN JUAN,OPP MOSQUE,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,280409,868 681 9627,MAILING,alkasajidmail@gmail.com,24/06/2024 10:02:22 AM,SAJID MOHAMMED,SOLE PROPRIETORSHIP,1,"HARDWARE PLUMBING
TECHNICAL SUPPLIES
DIVING EQUIPMENT",ALKABEER MARKETING,NO,,NO,,NO,,1998,TRINIDAD AND TOBAGO,
NATURE'S FRIEND LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLLKU108451,"MAINTENANCE OF GROUNDS AND BUILDINGS/
LANDSCAPING AND CONSTRUCTION/SUPPLIER OF GREEN VEGETABLES/FOOD ITEMS

",,11 NICHOLAS ANTOINE AVENUE,BAMBOO VILLAGE,,LA ROMAIN,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,NA,8684675271,PRIMARY,antoine60diana@gmail.com,25/06/2024 1:09:07 PM,NATURE'S FRIEND LIMITED,LIMITED LIABILITY,3,"MAINTENANCE OF GROUNDS AND BUILDINGS/
LANDSCAPING AND CONSTRUCTION/SUPPLIER OF GREEN VEGETABLES/FOOD ITEMS

",NATURE'S FRIEND LIMITED,NO,,NO,,NO,,2002,TRINIDAD AND TOBAGO,"naturesfriendltd@gmail.com
"
BUILD BEYOND LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLUTN117235,"CIVIL/GENERAL CONSTRUCTION
MASONARY,PLUMBING,ELECTRICAL AND MAINTENANCE WORKS.
SUPPLY HARDWARE MATERIALS AND SUPPLIES.SAFTEY SUPPLIES AND CLEANING SUPPLIES",,#236 S.S. ERIN ROAD ,,QUARRY VILLAGE,SIPARIA ,SIPARIA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,720129,8683100396,PRIMARY,buildbeyondltd@outlook.com,25/06/2024 3:55:16 PM,BUILD BEYOND LIMITED,LIMITED LIABILITY,2,"CIVIL/GENERAL CONSTRUCTION
MASONARY,PLUMBING,ELECTRICAL AND MAINTENANCE WORKS.
SUPPLY HARDWARE MATERIALS AND SUPPLIES.SAFTEY SUPPLIES AND CLEANING SUPPLIES",BUILD BEYOND LIMITED,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,
LENNON SERVICES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLLRN108957,"CONSTRUCTION, HYGIENE AND MISCELLANEOUS SERVICES",7D,"LA SARGESSE ROAD, UPPER SANTA CRUZ",,,SANTA CRUZ,NOT APPLICABLE,TRINIDAD AND TOBAGO,00000,8687206054,PRIMARY,lennonservicesltd@gmail.com,27/06/2024 11:23:59 AM,LENNON SERVICES LIMITED,LIMITED LIABILITY,35,"CONSTRUCTION, HYGIENE AND MISCELLANEOUS SERVICES",LENNON SERVICES LIMITED,NO,,NO,,NO,,2006,TRINIDAD AND TOBAGO,
SCARLET SUPPLIES LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLQPQ111780,"Automotive, Industrial, Rentals, Service, Supplies, General Contracting  ",,30 Jaimungal Trace Penal Quinam Road ,,,SANFERNANDO,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,1-868-393-1721,PRIMARY,scarletsupplies@gmail.com,28/06/2024 4:13:19 PM,SCARLET SUPPLIES LTD,LIMITED LIABILITY,4,"Automotive, Industrial, Rentals, Service, Supplies, General Contracting  ",SCARLET SUPPLIES LIMITED,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,N.A
LENNY SUMADH LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLMXW102180,"Automotive,Oilfield, Industrial, Marine, Hardware Supplies",LENNY SUMADH LIMITED,113-117 Coffee Street,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,868235-5272,PRIMARY,lennysumadhltd@yahoo.com,29/06/2024 8:50:26 AM,LENNY SUMADH LIMITED,LIMITED LIABILITY,25,"Automotive,Oilfield, Industrial, Marine, Hardware Supplies",LENNY SUMADH LIMITED,NO,,NO,,NO,,1955,TRINIDAD AND TOBAGO,
SOUTHERN UNITED AGENCIES COMPANY LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLJTW105696,SUPPLY OF GOODS,SOUTHERN UNITED AGENCIES COMPANY LIMITED,49 Lewis Street,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,8686578147,PRIMARY,support@suac.co.tt,11/07/2024 1:39:00 PM,SOUTHERN UNITED AGENCIES COMPANY LIMITED,LIMITED LIABILITY,6,SUPPLY OF GOODS,SOUTHERN UNITED AGENCIES COMPANY LIMITED,NO,,NO,,NO,,1976,TRINIDAD AND TOBAGO,www.suac.co.tt
VAN DER WAAL ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLKBA121665,"We specialize in fluid transfer tools, oils, lubricants, material handling, degreasers, disinfectants and other cleaning agents.",,190 Beaucarro Road,,,FREEPORT,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,000000,18687838797,PRIMARY,sales@vanderwaaltt.com,11/07/2024 6:20:25 PM,VAN DER WAAL ,LIMITED LIABILITY,2,"We specialize in fluid transfer tools, oils, lubricants, material handling, degreasers, disinfectants and other cleaning agents.",VAN DER WAAL COMPANY LIMITED,NO,,NO,,NO,,2024,TRINIDAD AND TOBAGO,www.vanderwaaltt.com
OILFIELD AND MARINE TECHNOLOGIES COMPANY LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLIYM106243,"Sales and Services to the Government of Trinidad and Tobago, state Agencies and Petrochemical Industries",,69 SOUTH TRUNK ROAD,LA ROMAIN,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,650139,8682327578,,oilfieldandmarineltd@gmail.com,12/07/2024 9:24:32 AM,OILFIELD AND MARINE TECHNOLOGIES COMPANY LIMITED,LIMITED LIABILITY,8,"Sales and Services to the Government of Trinidad and Tobago, state Agencies and Petrochemical Industries",OILFIELD AND MARINE TECHNOLOGIES COMPANY LIMITED,YES,,NO,,NO,,2012,TRINIDAD AND TOBAGO,
HOUSEHOLD SUPPLIES & CONSTRUCTION LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLAYA122605,"CONSTRUCTION, PLUMBING, ELECTRICAL, HOUSEHOLD SUPPLIES, OFFICE SUPPLIES & OTHER SERVICES ",,CORNER CHURCHILL ROOSEVELT HIGHWAY AND DEMERARA ROAD,,,WALLERFIELD ,ARIMA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8683490105,PRIMARY,householdsuppliesconstruct.tt@gmail.com,14/07/2024 6:28:03 PM,HOUSEHOLD SUPPLIES & CONSTRUCTION LTD,LIMITED LIABILITY,3,"CONSTRUCTION, PLUMBING, ELECTRICAL, HOUSEHOLD SUPPLIES, OFFICE SUPPLIES & OTHER SERVICES ",HOUSEHOLD SUPPLIES & CONSTRUCTION LTD,NO,,NO,,NO,,2021,TRINIDAD AND TOBAGO,
ORBITAL BUILDING SANITATION CONTRACTING,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPGMF120378,"We provide comprehensive cleaning services for both commercial and domestic spaces. From office buildings to residential homes, our team ensures cleanliness and hygiene to create healthier environments for our clients.",,,,,,,,,,,orbitalsanitation@gmail.com,03/07/2024 2:57:52 PM,ORBITAL BUILDING SANITATION CONTRACTING,SOLE PROPRIETORSHIP,0,"We provide comprehensive cleaning services for both commercial and domestic spaces. From office buildings to residential homes, our team ensures cleanliness and hygiene to create healthier environments for our clients.",ORBITAL BUILDING SANITATION CONTRACTING,NO,,NO,,NO,,2023,TRINIDAD AND TOBAGO,
EXPRESS ROOFING COMPANY LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLOAH108696,SUPPLY OF ROOFING MATERIAL AND HARDWARE ITEMS,EXPRESS ROOFING COMPANY LTD ,52 A RAM TRACE TOCO MAIN ROAD SANGRE GRANDE,,,SANGRE GRANDE,SANGRE GRANDE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,9933,221-6573,MAILING,expressroofingcompanyltd@yahoo.com,04/07/2024 10:59:40 AM,EXPRESS ROOFING COMPANY LTD,LIMITED LIABILITY,3,SUPPLY OF ROOFING MATERIAL AND HARDWARE ITEMS,EXPRESS ROOFING COMPANY LTD ,NO,,NO,,NO,,2015,TRINIDAD AND TOBAGO,
JAZCO MARKETING AND DISTRIBUTION LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLXPC102074,"Range of Products Janitorial, Safety, Paper Products, Office Stationery and Furniture, Food and Beverage,  Appliances, Tools, Hardware, Packaging, Miscellaneous",,123-125 Abercromby Street,,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,00000,625-2926,PRIMARY,matthewzakz@gmail.com,05/07/2024 3:02:35 PM,JAZCO MARKETING AND DISTRIBUTION LIMITED,LIMITED LIABILITY,6,"Range of Products Janitorial, Safety, Paper Products, Office Stationery and Furniture, Food and Beverage,  Appliances, Tools, Hardware, Packaging, Miscellaneous",JAZCO MARKETING AND DISTRIBUTION LIMITED,YES,D MOBILE OFFICE LIMITED,NO,,NO,,2010,TRINIDAD AND TOBAGO,www.jazco.co
TOPS OFFICE SUPPLIES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLMAC104399,"Stationery Supplier, Office Equipment, Janitorial supplies, Office Furniture  ",TOPS OFFICE SUPPLIES ,#171 Western Main Road,"St, James ",,PORT OF SPAIN ,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,00000,622-8677,PRIMARY,topssales2@gmail.com,28/06/2024 11:28:12 AM,TOPS OFFICE SUPPLIES LIMITED,LIMITED LIABILITY,25,"Stationery Supplier, Office Equipment, Janitorial supplies, Office Furniture  ",TOPS OFFICE SUPPLIES LIMITED,NO,,NO,,NO,,1994,TRINIDAD AND TOBAGO,n/a
DANIEL'S JANITORIAL SERVICES,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPMWA109697,Cleaning and Maintenance,,43 Osprey Avenue,Couva North Gardens,,COUVA,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,551304,(868)743-0649,PRIMARY,danieljanitorial@yahoo.com,16/07/2024 1:34:15 PM,DANIEL'S JANITORIAL SERVICES,SOLE PROPRIETORSHIP,6,Cleaning and Maintenance,DANIEL'S JANITORIAL SERVICES,NO,,NO,,NO,,2005,TRINIDAD AND TOBAGO,
